13002;1
13005;1
13007;1
13013;1
13016;1
13020;1
13022;1
13023;1
13028;1
13030;1
13031;1
13042;1
13046;1
13070;1
13073;1
13075;1
13085;1
13086;1
13101;1
13119;1
13201;1
13202;1
13203;1
13204;1
13205;1
13206;1
13207;1
13208;1
13209;1
13210;1
13211;1
13212;1
13213;1
13214;1
13215;1
13216;1
13331;1
13332;1
13333;1
13334;1
13335;1
13336;1
13337;1
13338;1
13339;1
13340;1
13341;1
13342;1
13343;1
13344;1
13345;1
13346;1
13001;2
13003;2
13004;2
13006;2
13008;2
13009;2
13010;2
13011;2
13012;2
13014;2
13015;2
13017;2
13018;2
13019;2
13021;2
13024;2
13025;2
13026;2
13027;2
13029;2
13032;2
13033;2
13034;2
13035;2
13036;2
13037;2
13038;2
13039;2
13040;2
13041;2
13043;2
13044;2
13045;2
13047;2
13048;2
13049;2
13050;2
13051;2
13052;2
13053;2
13054;2
13056;2
13057;2
13058;2
13059;2
13060;2
13061;2
13062;2
13063;2
13064;2
13065;2
13066;2
13067;2
13068;2
13069;2
13071;2
13072;2
13074;2
13076;2
13077;2
13078;2
13079;2
13080;2
13081;2
13082;2
13083;2
13084;2
13087;2
13088;2
13089;2
13090;2
13091;2
13092;2
13093;2
13094;2
13095;2
13096;2
13097;2
13098;2
13099;2
13100;2
13102;2
13103;2
13104;2
13105;2
13106;2
13107;2
13108;2
13109;2
13110;2
13111;2
13112;2
13113;2
13114;2
13115;2
13116;2
13117;2
13118;2
59004;1
59005;1
59007;1
59008;1
59009;1
59011;1
59013;1
59015;1
59016;1
59017;1
59018;1
59022;1
59024;1
59025;1
59026;1
59028;1
59029;1
59034;1
59042;1
59043;1
59044;1
59046;1
59051;1
59052;1
59054;1
59056;1
59067;1
59071;1
59073;1
59080;1
59082;1
59083;1
59084;1
59086;1
59087;1
59088;1
59089;1
59090;1
59091;1
59094;1
59096;1
59098;1
59105;1
59106;1
59107;1
59110;1
59111;1
59113;1
59115;1
59117;1
59119;1
59120;1
59123;1
59124;1
59126;1
59128;1
59129;1
59130;1
59131;1
59133;1
59135;1
59143;1
59145;1
59146;1
59150;1
59152;1
59154;1
59155;1
59156;1
59158;1
59159;1
59162;1
59163;1
59165;1
59168;1
59170;1
59173;1
59178;1
59180;1
59182;1
59183;1
59184;1
59185;1
59189;1
59193;1
59195;1
59196;1
59197;1
59199;1
59200;1
59201;1
59202;1
59203;1
59208;1
59210;1
59211;1
59212;1
59214;1
59220;1
59222;1
59224;1
59227;1
59228;1
59234;1
59237;1
59239;1
59247;1
59248;1
59250;1
59252;1
59254;1
59256;1
59257;1
59258;1
59260;1
59262;1
59263;1
59266;1
59268;1
59271;1
59272;1
59273;1
59275;1
59276;1
59278;1
59279;1
59280;1
59281;1
59282;1
59286;1
59293;1
59295;1
59299;1
59303;1
59304;1
59305;1
59307;1
59308;1
59309;1
59314;1
59316;1
59317;1
59318;1
59319;1
59320;1
59326;1
59327;1
59328;1
59329;1
59330;1
59332;1
59334;1
59336;1
59337;1
59338;1
59339;1
59340;1
59343;1
59345;1
59346;1
59350;1
59352;1
59354;1
59355;1
59356;1
59358;1
59359;1
59360;1
59364;1
59366;1
59367;1
59368;1
59371;1
59375;1
59378;1
59379;1
59386;1
59388;1
59390;1
59397;1
59398;1
59399;1
59400;1
59401;1
59402;1
59404;1
59408;1
59409;1
59410;1
59411;1
59414;1
59416;1
59419;1
59421;1
59423;1
59426;1
59427;1
59431;1
59433;1
59435;1
59436;1
59437;1
59443;1
59448;1
59449;1
59452;1
59453;1
59454;1
59456;1
59457;1
59458;1
59462;1
59463;1
59466;1
59469;1
59470;1
59477;1
59478;1
59482;1
